profileID,respID,qID,altID,obsID,blockID,location,price,materials,frequency
87,4,6,2,30,1,Door Pick-up,15,Limited food waste,3
47,4,7,1,31,1,Door Pick-up,15,Food waste,2
117,4,7,2,31,1,Door Pick-up,15,Limited food waste,4
26,4,8,1,32,1,Drop-off,10,Limited food waste,1
65,4,8,2,32,1,Door Pick-up,10,Commercial compost,3
40,5,1,1,33,1,Drop-off,20,Commercial compost,2
80,5,1,2,33,1,Drop-off,20,Food waste,3
3,5,2,1,34,1,Door Pick-up,5,Commercial compost,1
84,5,2,2,34,1,Drop-off,5,Limited food waste,3
23,5,3,1,35,1,Door Pick-up,5,Limited food waste,1
106,5,3,2,35,1,Drop-off,10,Food waste,4
74,5,4,1,36,1,Drop-off,5,Food waste,3
25,5,4,2,36,1,Door Pick-up,10,Limited food waste,1
16,5,5,1,37,1,Drop-off,10,Food waste,1
97,5,5,2,37,1,Door Pick-up,15,Commercial compost,4
68,5,6,1,38,1,Drop-off,15,Commercial compost,3
87,5,6,2,38,1,Door Pick-up,15,Limited food waste,3
47,5,7,1,39,1,Door Pick-up,15,Food waste,2
117,5,7,2,39,1,Door Pick-up,15,Limited food waste,4
26,5,8,1,40,1,Drop-off,10,Limited food waste,1
65,5,8,2,40,1,Door Pick-up,10,Commercial compost,3
40,6,1,1,41,1,Drop-off,20,Commercial compost,2
80,6,1,2,41,1,Drop-off,20,Food waste,3
3,6,2,1,42,1,Door Pick-up,5,Commercial compost,1
84,6,2,2,42,1,Drop-off,5,Limited food waste,3
23,6,3,1,43,1,Door Pick-up,5,Limited food waste,1
106,6,3,2,43,1,Drop-off,10,Food waste,4
74,6,4,1,44,1,Drop-off,5,Food waste,3
25,6,4,2,44,1,Door Pick-up,10,Limited food waste,1
16,6,5,1,45,1,Drop-off,10,Food waste,1
97,6,5,2,45,1,Door Pick-up,15,Commercial compost,4
68,6,6,1,46,1,Drop-off,15,Commercial compost,3
87,6,6,2,46,1,Door Pick-up,15,Limited food waste,3
47,6,7,1,47,1,Door Pick-up,15,Food waste,2
117,6,7,2,47,1,Door Pick-up,15,Limited food waste,4
26,6,8,1,48,1,Drop-off,10,Limited food waste,1
65,6,8,2,48,1,Door Pick-up,10,Commercial compost,3
40,7,1,1,49,1,Drop-off,20,Commercial compost,2
80,7,1,2,49,1,Drop-off,20,Food waste,3
3,7,2,1,50,1,Door Pick-up,5,Commercial compost,1
84,7,2,2,50,1,Drop-off,5,Limited food waste,3
23,7,3,1,51,1,Door Pick-up,5,Limited food waste,1
106,7,3,2,51,1,Drop-off,10,Food waste,4
74,7,4,1,52,1,Drop-off,5,Food waste,3
25,7,4,2,52,1,Door Pick-up,10,Limited food waste,1
16,7,5,1,53,1,Drop-off,10,Food waste,1
97,7,5,2,53,1,Door Pick-up,15,Commercial compost,4
68,7,6,1,54,1,Drop-off,15,Commercial compost,3
87,7,6,2,54,1,Door Pick-up,15,Limited food waste,3
47,7,7,1,55,1,Door Pick-up,15,Food waste,2
117,7,7,2,55,1,Door Pick-up,15,Limited food waste,4
26,7,8,1,56,1,Drop-off,10,Limited food waste,1
65,7,8,2,56,1,Door Pick-up,10,Commercial compost,3
40,8,1,1,57,1,Drop-off,20,Commercial compost,2
80,8,1,2,57,1,Drop-off,20,Food waste,3
3,8,2,1,58,1,Door Pick-up,5,Commercial compost,1
84,8,2,2,58,1,Drop-off,5,Limited food waste,3
23,8,3,1,59,1,Door Pick-up,5,Limited food waste,1
106,8,3,2,59,1,Drop-off,10,Food waste,4
74,8,4,1,60,1,Drop-off,5,Food waste,3
25,8,4,2,60,1,Door Pick-up,10,Limited food waste,1
16,8,5,1,61,1,Drop-off,10,Food waste,1
97,8,5,2,61,1,Door Pick-up,15,Commercial compost,4
68,8,6,1,62,1,Drop-off,15,Commercial compost,3
87,8,6,2,62,1,Door Pick-up,15,Limited food waste,3
47,8,7,1,63,1,Door Pick-up,15,Food waste,2
117,8,7,2,63,1,Door Pick-up,15,Limited food waste,4
26,8,8,1,64,1,Drop-off,10,Limited food waste,1
65,8,8,2,64,1,Door Pick-up,10,Commercial compost,3
40,9,1,1,65,1,Drop-off,20,Commercial compost,2
80,9,1,2,65,1,Drop-off,20,Food waste,3
3,9,2,1,66,1,Door Pick-up,5,Commercial compost,1
84,9,2,2,66,1,Drop-off,5,Limited food waste,3
23,9,3,1,67,1,Door Pick-up,5,Limited food waste,1
106,9,3,2,67,1,Drop-off,10,Food waste,4
74,9,4,1,68,1,Drop-off,5,Food waste,3
25,9,4,2,68,1,Door Pick-up,10,Limited food waste,1
16,9,5,1,69,1,Drop-off,10,Food waste,1
97,9,5,2,69,1,Door Pick-up,15,Commercial compost,4
68,9,6,1,70,1,Drop-off,15,Commercial compost,3
87,9,6,2,70,1,Door Pick-up,15,Limited food waste,3
47,9,7,1,71,1,Door Pick-up,15,Food waste,2
117,9,7,2,71,1,Door Pick-up,15,Limited food waste,4
26,9,8,1,72,1,Drop-off,10,Limited food waste,1
65,9,8,2,72,1,Door Pick-up,10,Commercial compost,3
40,10,1,1,73,1,Drop-off,20,Commercial compost,2
80,10,1,2,73,1,Drop-off,20,Food waste,3
3,10,2,1,74,1,Door Pick-up,5,Commercial compost,1
84,10,2,2,74,1,Drop-off,5,Limited food waste,3
23,10,3,1,75,1,Door Pick-up,5,Limited food waste,1
106,10,3,2,75,1,Drop-off,10,Food waste,4
74,10,4,1,76,1,Drop-off,5,Food waste,3
25,10,4,2,76,1,Door Pick-up,10,Limited food waste,1
16,10,5,1,77,1,Drop-off,10,Food waste,1
97,10,5,2,77,1,Door Pick-up,15,Commercial compost,4
68,10,6,1,78,1,Drop-off,15,Commercial compost,3
87,10,6,2,78,1,Door Pick-up,15,Limited food waste,3
47,10,7,1,79,1,Door Pick-up,15,Food waste,2
117,10,7,2,79,1,Door Pick-up,15,Limited food waste,4
26,10,8,1,80,1,Drop-off,10,Limited food waste,1
65,10,8,2,80,1,Door Pick-up,10,Commercial compost,3
40,11,1,1,81,1,Drop-off,20,Commercial compost,2
80,11,1,2,81,1,Drop-off,20,Food waste,3
3,11,2,1,82,1,Door Pick-up,5,Commercial compost,1
84,11,2,2,82,1,Drop-off,5,Limited food waste,3
23,11,3,1,83,1,Door Pick-up,5,Limited food waste,1
106,11,3,2,83,1,Drop-off,10,Food waste,4
74,11,4,1,84,1,Drop-off,5,Food waste,3
25,11,4,2,84,1,Door Pick-up,10,Limited food waste,1
16,11,5,1,85,1,Drop-off,10,Food waste,1
97,11,5,2,85,1,Door Pick-up,15,Commercial compost,4
68,11,6,1,86,1,Drop-off,15,Commercial compost,3
87,11,6,2,86,1,Door Pick-up,15,Limited food waste,3
47,11,7,1,87,1,Door Pick-up,15,Food waste,2
117,11,7,2,87,1,Door Pick-up,15,Limited food waste,4
26,11,8,1,88,1,Drop-off,10,Limited food waste,1
65,11,8,2,88,1,Door Pick-up,10,Commercial compost,3
40,12,1,1,89,1,Drop-off,20,Commercial compost,2
80,12,1,2,89,1,Drop-off,20,Food waste,3
3,12,2,1,90,1,Door Pick-up,5,Commercial compost,1
84,12,2,2,90,1,Drop-off,5,Limited food waste,3
23,12,3,1,91,1,Door Pick-up,5,Limited food waste,1
106,12,3,2,91,1,Drop-off,10,Food waste,4
74,12,4,1,92,1,Drop-off,5,Food waste,3
25,12,4,2,92,1,Door Pick-up,10,Limited food waste,1
16,12,5,1,93,1,Drop-off,10,Food waste,1
97,12,5,2,93,1,Door Pick-up,15,Commercial compost,4
68,12,6,1,94,1,Drop-off,15,Commercial compost,3
87,12,6,2,94,1,Door Pick-up,15,Limited food waste,3
47,12,7,1,95,1,Door Pick-up,15,Food waste,2
117,12,7,2,95,1,Door Pick-up,15,Limited food waste,4
26,12,8,1,96,1,Drop-off,10,Limited food waste,1
65,12,8,2,96,1,Door Pick-up,10,Commercial compost,3
40,13,1,1,97,1,Drop-off,20,Commercial compost,2
80,13,1,2,97,1,Drop-off,20,Food waste,3
3,13,2,1,98,1,Door Pick-up,5,Commercial compost,1
84,13,2,2,98,1,Drop-off,5,Limited food waste,3
23,13,3,1,99,1,Door Pick-up,5,Limited food waste,1
106,13,3,2,99,1,Drop-off,10,Food waste,4
74,13,4,1,100,1,Drop-off,5,Food waste,3
25,13,4,2,100,1,Door Pick-up,10,Limited food waste,1
16,13,5,1,101,1,Drop-off,10,Food waste,1
97,13,5,2,101,1,Door Pick-up,15,Commercial compost,4
68,13,6,1,102,1,Drop-off,15,Commercial compost,3
87,13,6,2,102,1,Door Pick-up,15,Limited food waste,3
47,13,7,1,103,1,Door Pick-up,15,Food waste,2
117,13,7,2,103,1,Door Pick-up,15,Limited food waste,4
26,13,8,1,104,1,Drop-off,10,Limited food waste,1
65,13,8,2,104,1,Door Pick-up,10,Commercial compost,3
40,14,1,1,105,1,Drop-off,20,Commercial compost,2
80,14,1,2,105,1,Drop-off,20,Food waste,3
3,14,2,1,106,1,Door Pick-up,5,Commercial compost,1
84,14,2,2,106,1,Drop-off,5,Limited food waste,3
23,14,3,1,107,1,Door Pick-up,5,Limited food waste,1
106,14,3,2,107,1,Drop-off,10,Food waste,4
74,14,4,1,108,1,Drop-off,5,Food waste,3
25,14,4,2,108,1,Door Pick-up,10,Limited food waste,1
16,14,5,1,109,1,Drop-off,10,Food waste,1
97,14,5,2,109,1,Door Pick-up,15,Commercial compost,4
68,14,6,1,110,1,Drop-off,15,Commercial compost,3
87,14,6,2,110,1,Door Pick-up,15,Limited food waste,3
47,14,7,1,111,1,Door Pick-up,15,Food waste,2
117,14,7,2,111,1,Door Pick-up,15,Limited food waste,4
26,14,8,1,112,1,Drop-off,10,Limited food waste,1
65,14,8,2,112,1,Door Pick-up,10,Commercial compost,3
40,15,1,1,113,1,Drop-off,20,Commercial compost,2
80,15,1,2,113,1,Drop-off,20,Food waste,3
3,15,2,1,114,1,Door Pick-up,5,Commercial compost,1
84,15,2,2,114,1,Drop-off,5,Limited food waste,3
23,15,3,1,115,1,Door Pick-up,5,Limited food waste,1
106,15,3,2,115,1,Drop-off,10,Food waste,4
74,15,4,1,116,1,Drop-off,5,Food waste,3
25,15,4,2,116,1,Door Pick-up,10,Limited food waste,1
16,15,5,1,117,1,Drop-off,10,Food waste,1
97,15,5,2,117,1,Door Pick-up,15,Commercial compost,4
68,15,6,1,118,1,Drop-off,15,Commercial compost,3
87,15,6,2,118,1,Door Pick-up,15,Limited food waste,3
47,15,7,1,119,1,Door Pick-up,15,Food waste,2
117,15,7,2,119,1,Door Pick-up,15,Limited food waste,4
26,15,8,1,120,1,Drop-off,10,Limited food waste,1
65,15,8,2,120,1,Door Pick-up,10,Commercial compost,3
40,16,1,1,121,1,Drop-off,20,Commercial compost,2
80,16,1,2,121,1,Drop-off,20,Food waste,3
3,16,2,1,122,1,Door Pick-up,5,Commercial compost,1
84,16,2,2,122,1,Drop-off,5,Limited food waste,3
23,16,3,1,123,1,Door Pick-up,5,Limited food waste,1
106,16,3,2,123,1,Drop-off,10,Food waste,4
74,16,4,1,124,1,Drop-off,5,Food waste,3
25,16,4,2,124,1,Door Pick-up,10,Limited food waste,1
16,16,5,1,125,1,Drop-off,10,Food waste,1
97,16,5,2,125,1,Door Pick-up,15,Commercial compost,4
68,16,6,1,126,1,Drop-off,15,Commercial compost,3
87,16,6,2,126,1,Door Pick-up,15,Limited food waste,3
47,16,7,1,127,1,Door Pick-up,15,Food waste,2
117,16,7,2,127,1,Door Pick-up,15,Limited food waste,4
26,16,8,1,128,1,Drop-off,10,Limited food waste,1
65,16,8,2,128,1,Door Pick-up,10,Commercial compost,3
40,17,1,1,129,1,Drop-off,20,Commercial compost,2
80,17,1,2,129,1,Drop-off,20,Food waste,3
3,17,2,1,130,1,Door Pick-up,5,Commercial compost,1
84,17,2,2,130,1,Drop-off,5,Limited food waste,3
23,17,3,1,131,1,Door Pick-up,5,Limited food waste,1
106,17,3,2,131,1,Drop-off,10,Food waste,4
74,17,4,1,132,1,Drop-off,5,Food waste,3
25,17,4,2,132,1,Door Pick-up,10,Limited food waste,1
16,17,5,1,133,1,Drop-off,10,Food waste,1
97,17,5,2,133,1,Door Pick-up,15,Commercial compost,4
68,17,6,1,134,1,Drop-off,15,Commercial compost,3
87,17,6,2,134,1,Door Pick-up,15,Limited food waste,3
47,17,7,1,135,1,Door Pick-up,15,Food waste,2
117,17,7,2,135,1,Door Pick-up,15,Limited food waste,4
26,17,8,1,136,1,Drop-off,10,Limited food waste,1
65,17,8,2,136,1,Door Pick-up,10,Commercial compost,3
40,18,1,1,137,1,Drop-off,20,Commercial compost,2
80,18,1,2,137,1,Drop-off,20,Food waste,3
3,18,2,1,138,1,Door Pick-up,5,Commercial compost,1
84,18,2,2,138,1,Drop-off,5,Limited food waste,3
23,18,3,1,139,1,Door Pick-up,5,Limited food waste,1
106,18,3,2,139,1,Drop-off,10,Food waste,4
74,18,4,1,140,1,Drop-off,5,Food waste,3
25,18,4,2,140,1,Door Pick-up,10,Limited food waste,1
16,18,5,1,141,1,Drop-off,10,Food waste,1
97,18,5,2,141,1,Door Pick-up,15,Commercial compost,4
68,18,6,1,142,1,Drop-off,15,Commercial compost,3
87,18,6,2,142,1,Door Pick-up,15,Limited food waste,3
47,18,7,1,143,1,Door Pick-up,15,Food waste,2
117,18,7,2,143,1,Door Pick-up,15,Limited food waste,4
26,18,8,1,144,1,Drop-off,10,Limited food waste,1
65,18,8,2,144,1,Door Pick-up,10,Commercial compost,3
40,19,1,1,145,1,Drop-off,20,Commercial compost,2
80,19,1,2,145,1,Drop-off,20,Food waste,3
3,19,2,1,146,1,Door Pick-up,5,Commercial compost,1
84,19,2,2,146,1,Drop-off,5,Limited food waste,3
23,19,3,1,147,1,Door Pick-up,5,Limited food waste,1
106,19,3,2,147,1,Drop-off,10,Food waste,4
74,19,4,1,148,1,Drop-off,5,Food waste,3
25,19,4,2,148,1,Door Pick-up,10,Limited food waste,1
16,19,5,1,149,1,Drop-off,10,Food waste,1
97,19,5,2,149,1,Door Pick-up,15,Commercial compost,4
68,19,6,1,150,1,Drop-off,15,Commercial compost,3
87,19,6,2,150,1,Door Pick-up,15,Limited food waste,3
47,19,7,1,151,1,Door Pick-up,15,Food waste,2
117,19,7,2,151,1,Door Pick-up,15,Limited food waste,4
26,19,8,1,152,1,Drop-off,10,Limited food waste,1
65,19,8,2,152,1,Door Pick-up,10,Commercial compost,3
40,20,1,1,153,1,Drop-off,20,Commercial compost,2
80,20,1,2,153,1,Drop-off,20,Food waste,3
3,20,2,1,154,1,Door Pick-up,5,Commercial compost,1
84,20,2,2,154,1,Drop-off,5,Limited food waste,3
23,20,3,1,155,1,Door Pick-up,5,Limited food waste,1
106,20,3,2,155,1,Drop-off,10,Food waste,4
74,20,4,1,156,1,Drop-off,5,Food waste,3
25,20,4,2,156,1,Door Pick-up,10,Limited food waste,1
16,20,5,1,157,1,Drop-off,10,Food waste,1
97,20,5,2,157,1,Door Pick-up,15,Commercial compost,4
68,20,6,1,158,1,Drop-off,15,Commercial compost,3
87,20,6,2,158,1,Door Pick-up,15,Limited food waste,3
47,20,7,1,159,1,Door Pick-up,15,Food waste,2
117,20,7,2,159,1,Door Pick-up,15,Limited food waste,4
26,20,8,1,160,1,Drop-off,10,Limited food waste,1
65,20,8,2,160,1,Door Pick-up,10,Commercial compost,3
40,21,1,1,161,1,Drop-off,20,Commercial compost,2
80,21,1,2,161,1,Drop-off,20,Food waste,3
3,21,2,1,162,1,Door Pick-up,5,Commercial compost,1
84,21,2,2,162,1,Drop-off,5,Limited food waste,3
23,21,3,1,163,1,Door Pick-up,5,Limited food waste,1
106,21,3,2,163,1,Drop-off,10,Food waste,4
74,21,4,1,164,1,Drop-off,5,Food waste,3
25,21,4,2,164,1,Door Pick-up,10,Limited food waste,1
16,21,5,1,165,1,Drop-off,10,Food waste,1
97,21,5,2,165,1,Door Pick-up,15,Commercial compost,4
68,21,6,1,166,1,Drop-off,15,Commercial compost,3
87,21,6,2,166,1,Door Pick-up,15,Limited food waste,3
47,21,7,1,167,1,Door Pick-up,15,Food waste,2
117,21,7,2,167,1,Door Pick-up,15,Limited food waste,4
26,21,8,1,168,1,Drop-off,10,Limited food waste,1
65,21,8,2,168,1,Door Pick-up,10,Commercial compost,3
40,22,1,1,169,1,Drop-off,20,Commercial compost,2
80,22,1,2,169,1,Drop-off,20,Food waste,3
3,22,2,1,170,1,Door Pick-up,5,Commercial compost,1
84,22,2,2,170,1,Drop-off,5,Limited food waste,3
23,22,3,1,171,1,Door Pick-up,5,Limited food waste,1
106,22,3,2,171,1,Drop-off,10,Food waste,4
74,22,4,1,172,1,Drop-off,5,Food waste,3
25,22,4,2,172,1,Door Pick-up,10,Limited food waste,1
16,22,5,1,173,1,Drop-off,10,Food waste,1
97,22,5,2,173,1,Door Pick-up,15,Commercial compost,4
68,22,6,1,174,1,Drop-off,15,Commercial compost,3
87,22,6,2,174,1,Door Pick-up,15,Limited food waste,3
47,22,7,1,175,1,Door Pick-up,15,Food waste,2
117,22,7,2,175,1,Door Pick-up,15,Limited food waste,4
26,22,8,1,176,1,Drop-off,10,Limited food waste,1
65,22,8,2,176,1,Door Pick-up,10,Commercial compost,3
40,23,1,1,177,1,Drop-off,20,Commercial compost,2
80,23,1,2,177,1,Drop-off,20,Food waste,3
3,23,2,1,178,1,Door Pick-up,5,Commercial compost,1
84,23,2,2,178,1,Drop-off,5,Limited food waste,3
23,23,3,1,179,1,Door Pick-up,5,Limited food waste,1
106,23,3,2,179,1,Drop-off,10,Food waste,4
74,23,4,1,180,1,Drop-off,5,Food waste,3
25,23,4,2,180,1,Door Pick-up,10,Limited food waste,1
16,23,5,1,181,1,Drop-off,10,Food waste,1
97,23,5,2,181,1,Door Pick-up,15,Commercial compost,4
68,23,6,1,182,1,Drop-off,15,Commercial compost,3
87,23,6,2,182,1,Door Pick-up,15,Limited food waste,3
47,23,7,1,183,1,Door Pick-up,15,Food waste,2
117,23,7,2,183,1,Door Pick-up,15,Limited food waste,4
26,23,8,1,184,1,Drop-off,10,Limited food waste,1
65,23,8,2,184,1,Door Pick-up,10,Commercial compost,3
40,24,1,1,185,1,Drop-off,20,Commercial compost,2
80,24,1,2,185,1,Drop-off,20,Food waste,3
3,24,2,1,186,1,Door Pick-up,5,Commercial compost,1
84,24,2,2,186,1,Drop-off,5,Limited food waste,3
23,24,3,1,187,1,Door Pick-up,5,Limited food waste,1
106,24,3,2,187,1,Drop-off,10,Food waste,4
74,24,4,1,188,1,Drop-off,5,Food waste,3
25,24,4,2,188,1,Door Pick-up,10,Limited food waste,1
16,24,5,1,189,1,Drop-off,10,Food waste,1
97,24,5,2,189,1,Door Pick-up,15,Commercial compost,4
68,24,6,1,190,1,Drop-off,15,Commercial compost,3
87,24,6,2,190,1,Door Pick-up,15,Limited food waste,3
47,24,7,1,191,1,Door Pick-up,15,Food waste,2
117,24,7,2,191,1,Door Pick-up,15,Limited food waste,4
26,24,8,1,192,1,Drop-off,10,Limited food waste,1
65,24,8,2,192,1,Door Pick-up,10,Commercial compost,3
40,25,1,1,193,1,Drop-off,20,Commercial compost,2
80,25,1,2,193,1,Drop-off,20,Food waste,3
3,25,2,1,194,1,Door Pick-up,5,Commercial compost,1
84,25,2,2,194,1,Drop-off,5,Limited food waste,3
23,25,3,1,195,1,Door Pick-up,5,Limited food waste,1
106,25,3,2,195,1,Drop-off,10,Food waste,4
74,25,4,1,196,1,Drop-off,5,Food waste,3
25,25,4,2,196,1,Door Pick-up,10,Limited food waste,1
16,25,5,1,197,1,Drop-off,10,Food waste,1
97,25,5,2,197,1,Door Pick-up,15,Commercial compost,4
68,25,6,1,198,1,Drop-off,15,Commercial compost,3
87,25,6,2,198,1,Door Pick-up,15,Limited food waste,3
47,25,7,1,199,1,Door Pick-up,15,Food waste,2
117,25,7,2,199,1,Door Pick-up,15,Limited food waste,4
26,25,8,1,200,1,Drop-off,10,Limited food waste,1
65,25,8,2,200,1,Door Pick-up,10,Commercial compost,3
40,26,1,1,201,1,Drop-off,20,Commercial compost,2
80,26,1,2,201,1,Drop-off,20,Food waste,3
3,26,2,1,202,1,Door Pick-up,5,Commercial compost,1
84,26,2,2,202,1,Drop-off,5,Limited food waste,3
23,26,3,1,203,1,Door Pick-up,5,Limited food waste,1
106,26,3,2,203,1,Drop-off,10,Food waste,4
74,26,4,1,204,1,Drop-off,5,Food waste,3
25,26,4,2,204,1,Door Pick-up,10,Limited food waste,1
16,26,5,1,205,1,Drop-off,10,Food waste,1
97,26,5,2,205,1,Door Pick-up,15,Commercial compost,4
68,26,6,1,206,1,Drop-off,15,Commercial compost,3
87,26,6,2,206,1,Door Pick-up,15,Limited food waste,3
47,26,7,1,207,1,Door Pick-up,15,Food waste,2
117,26,7,2,207,1,Door Pick-up,15,Limited food waste,4
26,26,8,1,208,1,Drop-off,10,Limited food waste,1
65,26,8,2,208,1,Door Pick-up,10,Commercial compost,3
40,27,1,1,209,1,Drop-off,20,Commercial compost,2
80,27,1,2,209,1,Drop-off,20,Food waste,3
3,27,2,1,210,1,Door Pick-up,5,Commercial compost,1
84,27,2,2,210,1,Drop-off,5,Limited food waste,3
23,27,3,1,211,1,Door Pick-up,5,Limited food waste,1
106,27,3,2,211,1,Drop-off,10,Food waste,4
74,27,4,1,212,1,Drop-off,5,Food waste,3
25,27,4,2,212,1,Door Pick-up,10,Limited food waste,1
16,27,5,1,213,1,Drop-off,10,Food waste,1
97,27,5,2,213,1,Door Pick-up,15,Commercial compost,4
68,27,6,1,214,1,Drop-off,15,Commercial compost,3
87,27,6,2,214,1,Door Pick-up,15,Limited food waste,3
47,27,7,1,215,1,Door Pick-up,15,Food waste,2
117,27,7,2,215,1,Door Pick-up,15,Limited food waste,4
26,27,8,1,216,1,Drop-off,10,Limited food waste,1
65,27,8,2,216,1,Door Pick-up,10,Commercial compost,3
40,28,1,1,217,1,Drop-off,20,Commercial compost,2
80,28,1,2,217,1,Drop-off,20,Food waste,3
3,28,2,1,218,1,Door Pick-up,5,Commercial compost,1
84,28,2,2,218,1,Drop-off,5,Limited food waste,3
23,28,3,1,219,1,Door Pick-up,5,Limited food waste,1
106,28,3,2,219,1,Drop-off,10,Food waste,4
74,28,4,1,220,1,Drop-off,5,Food waste,3
25,28,4,2,220,1,Door Pick-up,10,Limited food waste,1
16,28,5,1,221,1,Drop-off,10,Food waste,1
97,28,5,2,221,1,Door Pick-up,15,Commercial compost,4
68,28,6,1,222,1,Drop-off,15,Commercial compost,3
87,28,6,2,222,1,Door Pick-up,15,Limited food waste,3
47,28,7,1,223,1,Door Pick-up,15,Food waste,2
117,28,7,2,223,1,Door Pick-up,15,Limited food waste,4
26,28,8,1,224,1,Drop-off,10,Limited food waste,1
65,28,8,2,224,1,Door Pick-up,10,Commercial compost,3
40,29,1,1,225,1,Drop-off,20,Commercial compost,2
80,29,1,2,225,1,Drop-off,20,Food waste,3
3,29,2,1,226,1,Door Pick-up,5,Commercial compost,1
84,29,2,2,226,1,Drop-off,5,Limited food waste,3
23,29,3,1,227,1,Door Pick-up,5,Limited food waste,1
106,29,3,2,227,1,Drop-off,10,Food waste,4
74,29,4,1,228,1,Drop-off,5,Food waste,3
25,29,4,2,228,1,Door Pick-up,10,Limited food waste,1
16,29,5,1,229,1,Drop-off,10,Food waste,1
97,29,5,2,229,1,Door Pick-up,15,Commercial compost,4
68,29,6,1,230,1,Drop-off,15,Commercial compost,3
87,29,6,2,230,1,Door Pick-up,15,Limited food waste,3
47,29,7,1,231,1,Door Pick-up,15,Food waste,2
117,29,7,2,231,1,Door Pick-up,15,Limited food waste,4
26,29,8,1,232,1,Drop-off,10,Limited food waste,1
65,29,8,2,232,1,Door Pick-up,10,Commercial compost,3
40,30,1,1,233,1,Drop-off,20,Commercial compost,2
80,30,1,2,233,1,Drop-off,20,Food waste,3
3,30,2,1,234,1,Door Pick-up,5,Commercial compost,1
84,30,2,2,234,1,Drop-off,5,Limited food waste,3
23,30,3,1,235,1,Door Pick-up,5,Limited food waste,1
106,30,3,2,235,1,Drop-off,10,Food waste,4
74,30,4,1,236,1,Drop-off,5,Food waste,3
25,30,4,2,236,1,Door Pick-up,10,Limited food waste,1
16,30,5,1,237,1,Drop-off,10,Food waste,1
97,30,5,2,237,1,Door Pick-up,15,Commercial compost,4
